Time,Ampl
995564,3.60617
995565,3.60551
995566,3.60565
995567,3.60586
995568,3.60507
995569,3.60515
995570,3.61714
995571,3.65058
995572,3.65002
995573,3.6493
995574,3.64878
995575,3.64937
995576,3.64885
995577,3.64886
995578,3.64816
995579,3.67581
995580,3.69433
995581,3.69403
995582,3.69341
995583,3.69256
995584,3.69323
995585,3.69336
995586,3.69318
995587,3.69232
995588,3.73723
995589,3.73752
995590,3.7375
995591,3.73704
995592,3.73738
995593,3.7366
995594,3.73632
995595,3.73617
995596,3.74626
995597,3.78165
995598,3.78108
995599,3.78087
995600,3.78017
995601,3.78053
995602,3.77997
995603,3.78031
995604,3.77966
995605,3.8217
995606,3.82553
995607,3.82503
995608,3.8244
995609,3.82405
995610,3.8237
995611,3.82378
995612,3.82353
995613,3.82403
995614,3.86909
995615,3.86865
995616,3.86824
995617,3.86902
995618,3.86875
995619,3.86849
995620,3.86738
995621,3.86693
995622,3.88641
995623,3.91234
995624,3.91193
995625,3.91169
995626,3.91169
995627,3.91164
995628,3.91075
995629,3.91102
995630,3.91067
995631,2.36209
995632,3.22563
995633,3.2246
995634,3.22444
995635,3.22454
995636,3.22389
995637,3.22411
995638,3.22431
995639,3.22367
995640,3.26447
995641,3.26861
995642,3.26833
995643,3.26867
995644,3.26867
995645,3.26825
995646,3.26798
995647,3.26872
995648,3.2677
995649,3.31278
995650,3.31338
995651,3.31272
995652,3.31265
995653,3.31288
995654,3.31311
995655,3.31267
995656,3.31255
995657,3.32874
995658,3.35763
995659,3.3579
995660,3.35755
995661,3.35763
995662,3.35776
995663,3.35783
995664,3.35754
995665,3.35718
995666,3.38623
995667,3.40214
995668,3.40221
995669,3.402
995670,3.40161
995671,3.40189
995672,3.40193
995673,3.40199
995674,3.40143
995675,3.44149
995676,3.44688
995677,3.44651
995678,3.4461
995679,3.44652
995680,3.44562
995681,3.44569
995682,3.44521
995683,3.44547
995684,3.4901
995685,3.48996
995686,3.49027
995687,3.49031
995688,3.49012
995689,3.49016
995690,3.48966
995691,3.49005
995692,3.50036
995693,3.53515
995694,3.5348
995695,3.5352
995696,3.53494
995697,3.53421
995698,3.53455
995699,3.53426
995700,3.53386
995701,3.5718
995702,3.57912
995703,3.57865
995704,3.57859
995705,3.57782
995706,3.57846
995707,3.57806
995708,3.57714
995709,3.58525
995710,3.62276
995711,3.62299
995712,3.62196
995713,3.62218
995714,3.62185
995715,3.62203
995716,3.62141
995717,3.62131
995718,3.6474
995719,3.66659
995720,3.66598
995721,3.66589
995722,3.66577
995723,3.66544
995724,3.66575
995725,3.66557
995726,3.66482
995727,3.70578
995728,3.71023
995729,3.70994
995730,3.70979
995731,3.70959
995732,3.70959
995733,3.70945
995734,3.70937
995735,3.75451
995736,3.75389
995737,3.7535
995738,3.75315
995739,3.75382
995740,3.7534
995741,3.75312
995742,3.78167
995743,3.79785
995744,3.7984
