start,end,step
60,150,10
160,350,10
350,550,20
550,700,10
650,750,10
700,850,10
800,950,10
850,1100,10
1000,1200,10
950,1300,20
740,960,20
400,700,20
300,600,20
600,900,20
300,750,20
100,500,20
