Time,Ampl
996900,1.03498
996901,1.1076
996902,1.11038
996903,1.11093
996904,1.11104
996905,1.11139
996906,1.11134
996907,1.11171
996908,1.11153
996909,0.177098
996910,0.182476
996911,0.185309
996912,0.185204
996913,0.185159
996914,0.18549
996915,0.185466
996916,0.185584
996917,0.185555
996918,0.185621
996919,0.185582
996920,0.185493
996921,0.185882
996922,0.185568
996923,0.185854
996924,0.192951
996925,0.436051
996926,1.19949
996927,1.1968
996928,1.19628
996929,1.19648
996930,1.19652
996931,1.19626
996932,1.19639
996933,1.19625
996934,1.27015
996935,1.27031
996936,1.27033
996937,1.27006
996938,1.27046
996939,1.27032
996940,1.27031
996941,1.27048
996942,1.31368
996943,1.34445
996944,1.34428
996945,1.3444
996946,1.34417
996947,1.34441
996948,1.34462
996949,1.34448
996950,1.35549
996951,1.41896
996952,1.41842
996953,1.41834
996954,1.41831
996955,1.41796
996956,1.41794
996957,1.41812
996958,1.42203
996959,1.49248
996960,1.49209
996961,1.49203
996962,1.49204
996963,1.49189
996964,1.49202
996965,1.49236
996966,1.52784
996967,1.56593
996968,1.56609
996969,1.56602
996970,1.56598
996971,1.5658
996972,1.56596
996973,1.56597
996974,1.63943
996975,1.63974
996976,1.63956
996977,1.63975
996978,1.63983
996979,1.6397
996980,1.63952
996981,1.63938
996982,1.69966
996983,1.714
996984,1.71386
996985,1.71367
996986,1.71388
996987,1.71403
996988,1.71443
996989,1.71453
996990,1.74505
996991,1.78906
996992,1.78839
996993,1.78826
996994,1.78831
996995,1.78846
996996,1.78821
996997,1.78832
996998,1.81478
996999,1.86315
997000,1.86291
997001,1.86301
997002,1.86313
997003,1.86284
997004,1.86318
997005,1.86307
997006,1.64378
997007,1.93096
997008,1.93201
997009,1.93218
997010,1.93176
997011,1.93224
997012,1.93216
997013,1.93209
997014,1.93218
997015,2.00647
997016,2.00682
997017,2.00695
997018,2.00726
997019,2.00715
997020,2.00721
997021,2.00745
997022,2.00715
997023,2.0753
997024,2.08067
997025,2.0808
997026,2.08048
997027,2.08029
997028,2.08027
997029,2.13397
997030,2.15359
997031,2.15344
997032,2.15313
997033,2.15299
997034,2.15298
997035,2.15302
997036,2.15264
997037,2.1871
997038,2.22628
997039,2.22578
997040,2.22556
997041,2.22576
997042,2.22546
997043,2.22536
997044,2.22557
997045,2.2295
997046,2.29924
997047,2.29895
997048,2.29836
997049,2.29857
997050,2.29834
997051,2.29795
997052,2.29761
997053,2.2975
997054,2.36518
997055,2.37086
997056,2.37031
997057,2.37032
997058,2.37066
997059,2.37009
997060,2.37023
997061,2.37008
997062,2.40106
997063,2.4434
997064,2.44332
997065,2.44303
997066,2.44291
997067,2.4424
997068,2.44229
997069,2.44259
997070,2.46737
997071,2.5154
997072,2.51485
997073,2.51448
997074,2.51489
997075,2.51475
997076,2.51445
997077,2.51403
997078,2.51438
997079,2.58712
997080,2.58714
997081,2.58698
997082,2.5872
997083,2.58678
997084,2.58698
997085,2.58655
997086,2.58622
997087,1.10066
997088,0.829206
997089,1.09067
997090,1.08927
997091,1.09163
997092,1.09126
997093,1.09111
997094,1.09123
997095,1.09113
997096,1.15925
997097,1.15825
997098,1.15848
997099,1.15872
997100,1.15862
997101,1.1585
997102,1.15857
997103,1.16206
997104,1.22668
